,标准差,活动时长,中位数绝对偏差,四分位距,信息熵,最大值,最小值,差值,labels
NTX_3_NRX_1_Subcarrier_4,6.59033493218089,5942.0,2.4817577263844077,5.628165010181209,-inf,29.483262777058176,-20.618685073131168,50.10194785018935,
NTX_3_NRX_1_Subcarrier_5,5.985072052509807,5942.0,2.185923669063272,4.486359338878552,-inf,16.51466982055597,-30.75594944862861,47.27061926918458,
NTX_3_NRX_1_Subcarrier_6,6.658359794719203,5942.0,2.9196716686394613,6.181073617167307,-inf,19.477359242256576,-26.648356605637318,46.12571584789389,
NTX_3_NRX_1_Subcarrier_7,7.233626239706,5942.0,3.7787537446300123,7.890378887583546,-inf,22.293222892353146,-21.050606132414824,43.34382902476797,
NTX_3_NRX_1_Subcarrier_8,7.191818224450164,5942.0,4.251352844938177,9.076542653180287,-inf,28.168322429565123,-20.872303552023848,49.040625981588974,
NTX_3_NRX_1_Subcarrier_9,6.6885015825520835,5942.0,3.7553872733744766,8.243767360431548,-inf,31.265390658948537,-17.891213212213607,49.15660387116215,
NTX_3_NRX_1_Subcarrier_10,6.371621565641472,5942.0,3.0924849448067766,6.24832223438179,-inf,37.5074709568934,-17.923648084162867,55.43111904105626,
NTX_3_NRX_1_Subcarrier_11,6.041069386756155,5942.0,2.8482803903819027,5.733981561154808,-inf,32.87490702312331,-18.996475492517646,51.87138251564096,
NTX_3_NRX_1_Subcarrier_12,5.374591810458331,5942.0,2.289845052620261,4.859632917555711,-inf,21.42454431294756,-17.354231050290164,38.77877536323773,
NTX_3_NRX_1_Subcarrier_13,5.092776501720305,5942.0,2.3432266802614423,5.019499806374804,-inf,14.168105382289422,-22.739733599553727,36.90783898184315,
NTX_3_NRX_1_Subcarrier_14,5.922509899994976,5942.0,2.662301691410298,5.352024108960439,-inf,18.080443263915956,-29.576645028114015,47.65708829202997,
NTX_3_NRX_1_Subcarrier_15,6.199651667637283,5942.0,2.7593004146736075,5.573852651361044,-inf,18.927697476350755,-28.0228974661341,46.950594942484855,
NTX_3_NRX_1_Subcarrier_16,6.446332636858002,5942.0,2.8964618359091463,5.763479774916309,-inf,22.94388899631093,-28.088224108629852,51.03211310494078,
NTX_3_NRX_1_Subcarrier_17,6.526551022179898,5941.0,2.7948861212055265,5.725222136921299,-inf,26.146166591681283,-26.77161977869148,52.91778637037277,
NTX_3_NRX_1_Subcarrier_18,6.680573739197357,5942.0,2.8846797512254043,5.969362731770405,-inf,28.29899224341512,-24.439301473491394,52.73829371690651,
NTX_3_NRX_1_Subcarrier_19,6.8692296342361026,5942.0,3.2490490900762294,6.839254229080681,-inf,31.24775159332282,-21.23389634595904,52.48164793928186,
NTX_3_NRX_1_Subcarrier_20,6.2855230872049415,5942.0,2.917610754907911,6.230264080968556,-inf,21.118224723224625,-27.84941279341327,48.96763751663789,
NTX_3_NRX_1_Subcarrier_21,5.816407588269678,5942.0,2.3277893680216337,5.029940213722203,-inf,15.009355854818988,-28.769321225790435,43.77867708060943,
NTX_3_NRX_1_Subcarrier_22,6.775083920916322,5942.0,2.550660110144804,6.027355561915872,-inf,21.162600980131437,-26.727146914015904,47.88974789414734,
NTX_3_NRX_1_Subcarrier_23,7.973126900760091,5942.0,4.105289108336766,8.970804742998233,-inf,25.610309942206403,-20.13625379955606,45.74656374176246,
